,RH
2019-09-02 06:00:00,67.71
2019-09-02 06:01:00,67.72
2019-09-02 06:02:00,67.7
2019-09-02 06:03:00,67.69
2019-09-02 06:04:00,67.702
2019-09-02 06:05:00,67.72666666666667
2019-09-02 06:06:00,67.75571428571429
2019-09-02 06:07:00,67.7925
2019-09-02 06:08:00,67.82777777777778
2019-09-02 06:09:00,67.87100000000001
2019-09-02 06:10:00,67.934
2019-09-02 06:11:00,67.99300000000001
2019-09-02 06:12:00,68.06800000000001
2019-09-02 06:13:00,68.153
2019-09-02 06:14:00,68.239
2019-09-02 06:15:00,68.31500000000001
2019-09-02 06:16:00,68.374
2019-09-02 06:17:00,68.42
2019-09-02 06:18:00,68.459
2019-09-02 06:19:00,68.465
2019-09-02 06:20:00,68.45100000000001
2019-09-02 06:21:00,68.436
2019-09-02 06:22:00,68.40500000000002
2019-09-02 06:23:00,68.36500000000002
2019-09-02 06:24:00,68.31700000000002
2019-09-02 06:25:00,68.28400000000002
2019-09-02 06:26:00,68.28200000000001
2019-09-02 06:27:00,68.31600000000002
2019-09-02 06:28:00,68.32800000000002
2019-09-02 06:29:00,68.35300000000002
2019-09-02 06:30:00,68.39600000000002
2019-09-02 06:31:00,68.44100000000002
2019-09-02 06:32:00,68.49000000000002
2019-09-02 06:33:00,68.54700000000001
2019-09-02 06:34:00,68.61100000000002
2019-09-02 06:35:00,68.67900000000002
2019-09-02 06:36:00,68.72300000000003
2019-09-02 06:37:00,68.72800000000002
2019-09-02 06:38:00,68.76500000000001
2019-09-02 06:39:00,68.83000000000001
2019-09-02 06:40:00,68.89700000000002
2019-09-02 06:41:00,68.96000000000001
2019-09-02 06:42:00,69.03200000000001
2019-09-02 06:43:00,69.101
2019-09-02 06:44:00,69.155
2019-09-02 06:45:00,69.17699999999999
2019-09-02 06:46:00,69.18499999999999
2019-09-02 06:47:00,69.19899999999998
2019-09-02 06:48:00,69.22099999999999
2019-09-02 06:49:00,69.23599999999999
2019-09-02 06:50:00,69.25699999999999
2019-09-02 06:51:00,69.29499999999999
2019-09-02 06:52:00,69.335
2019-09-02 06:53:00,69.35999999999999
2019-09-02 06:54:00,69.39599999999999
2019-09-02 06:55:00,69.44499999999998
2019-09-02 06:56:00,69.50799999999998
2019-09-02 06:57:00,69.55799999999998
2019-09-02 06:58:00,69.58699999999997
2019-09-02 06:59:00,69.61199999999998
2019-09-02 07:00:00,69.64099999999998
2019-09-02 07:01:00,69.66499999999998
2019-09-02 07:02:00,69.69199999999998
2019-09-02 07:03:00,69.74099999999997
2019-09-02 07:04:00,69.78799999999998
2019-09-02 07:05:00,69.82899999999998
2019-09-02 07:06:00,69.86799999999998
2019-09-02 07:07:00,69.92899999999999
2019-09-02 07:08:00,70.01399999999998
2019-09-02 07:09:00,70.10299999999998
2019-09-02 07:10:00,70.18999999999998
2019-09-02 07:11:00,70.29499999999999
2019-09-02 07:12:00,70.37999999999998
2019-09-02 07:13:00,70.44499999999998
2019-09-02 07:14:00,70.49599999999998
2019-09-02 07:15:00,70.54099999999997
2019-09-02 07:16:00,70.62399999999998
2019-09-02 07:17:00,70.68699999999998
2019-09-02 07:18:00,70.72799999999998
2019-09-02 07:19:00,70.76399999999998
2019-09-02 07:20:00,70.80799999999998
2019-09-02 07:21:00,70.82699999999998
2019-09-02 07:22:00,70.84199999999998
2019-09-02 07:23:00,70.85099999999998
2019-09-02 07:24:00,70.87799999999999
2019-09-02 07:25:00,70.91799999999998
2019-09-02 07:26:00,70.92299999999997
2019-09-02 07:27:00,70.93299999999998
2019-09-02 07:28:00,70.93199999999999
2019-09-02 07:29:00,70.90799999999999
2019-09-02 07:30:00,70.84899999999998
2019-09-02 07:31:00,70.78599999999997
2019-09-02 07:32:00,70.73299999999998
2019-09-02 07:33:00,70.69299999999998
2019-09-02 07:34:00,70.66099999999999
2019-09-02 07:35:00,70.62899999999999
2019-09-02 07:36:00,70.608
2019-09-02 07:37:00,70.598
2019-09-02 07:38:00,70.595
2019-09-02 07:39:00,70.602
2019-09-02 07:40:00,70.63400000000001
2019-09-02 07:41:00,70.67300000000002
2019-09-02 07:42:00,70.73800000000001
2019-09-02 07:43:00,70.81800000000001
2019-09-02 07:44:00,70.89200000000001
2019-09-02 07:45:00,70.96900000000001
2019-09-02 07:46:00,71.043
2019-09-02 07:47:00,71.10400000000001
2019-09-02 07:48:00,71.18
2019-09-02 07:49:00,71.233
2019-09-02 07:50:00,71.251
2019-09-02 07:51:00,71.26599999999999
2019-09-02 07:52:00,71.264
2019-09-02 07:53:00,71.23400000000001
2019-09-02 07:54:00,71.179
2019-09-02 07:55:00,71.11699999999999
2019-09-02 07:56:00,71.047
2019-09-02 07:57:00,70.97999999999999
2019-09-02 07:58:00,70.90899999999999
2019-09-02 07:59:00,70.871
2019-09-02 08:00:00,70.852
2019-09-02 08:01:00,70.827
2019-09-02 08:02:00,70.78999999999999
2019-09-02 08:03:00,70.751
2019-09-02 08:04:00,70.747
2019-09-02 08:05:00,70.762
2019-09-02 08:06:00,70.77000000000001
2019-09-02 08:07:00,70.761
2019-09-02 08:08:00,70.747
2019-09-02 08:09:00,70.75800000000001
2019-09-02 08:10:00,70.824
2019-09-02 08:11:00,70.91600000000001
2019-09-02 08:12:00,71.048
2019-09-02 08:13:00,71.19500000000001
2019-09-02 08:14:00,71.36800000000001
2019-09-02 08:15:00,71.608
2019-09-02 08:16:00,71.761
2019-09-02 08:17:00,71.872
2019-09-02 08:18:00,72.001
2019-09-02 08:19:00,72.14399999999999
2019-09-02 08:20:00,72.28899999999999
2019-09-02 08:21:00,72.34199999999998
2019-09-02 08:22:00,72.36399999999999
2019-09-02 08:23:00,72.42399999999999
2019-09-02 08:24:00,72.35199999999999
2019-09-02 08:25:00,72.16299999999998
2019-09-02 08:26:00,72.12899999999999
2019-09-02 08:27:00,72.13399999999999
2019-09-02 08:28:00,72.20899999999997
2019-09-02 08:29:00,72.21199999999997
2019-09-02 08:30:00,72.10599999999997
2019-09-02 08:31:00,71.98699999999997
2019-09-02 08:32:00,71.93499999999997
2019-09-02 08:33:00,71.85099999999997
2019-09-02 08:34:00,71.80199999999996
2019-09-02 08:35:00,71.76999999999997
2019-09-02 08:36:00,71.65899999999996
2019-09-02 08:37:00,71.55999999999997
2019-09-02 08:38:00,71.36299999999997
2019-09-02 08:39:00,71.20899999999997
2019-09-02 08:40:00,71.14999999999998
2019-09-02 08:41:00,71.24299999999998
2019-09-02 08:42:00,71.18099999999998
2019-09-02 08:43:00,71.05099999999999
2019-09-02 08:44:00,70.95399999999998
